uid,paper_uid,paper_title,decision,comment,title
w-C7OPuhim,rJgqalBKvH,Deceptive Opponent Modeling with Proactive Network Interdiction for Stochastic Goal Recognition Control,Reject,This paper has been withdrawn by the authors.,Paper Decision
bgMqqD6tkI,Hyg96gBKPS,Monotonic Multihead Attention,Accept (Poster),"This paper extends previous models for monotonic attention to the multi-head attention used in Transformers, yielding ""Monotonic Multi-head Attention."" The proposed method achieves better latency-quality tradeoffs in simultaneous MT tasks in two language pairs.

The proposed method is a relatively straightforward extension of the previous Hard and Infinite Lookback monotonic attention models. However, all reviewers seem to agree that this paper is a meaningful contribution to the task of simultaneously MT, and the revised version of the paper (along with the authors' comments) addressed most of the raised concerns.

Therefore, I propose acceptance of this paper.",Paper Decision
fPjrfR2Q1_,HyeYTgrFPB,Massively Multilingual Sparse Word Representations,Accept (Poster),"This paper describes a new method for creating word embeddings that can operate on corpora from more than one language.  The algorithm is simple, but rivals more complex approaches.  

The reviewers were happy with this paper.  They were also impressed that the authors ran the requested multi-lingual BERT experiments, even though they did not show positive results. One reviewer did think that non-contextual word embeddings were of less interest to the NLP community, but thought your arguments for the computational efficiency were convincing.",Paper Decision
aR5hnzfg8o,HJeYalBKvr,Attention over Phrases,Reject,"This paper incorporates phrases within the transformer architecture.

The underlying idea is interesting, but the reviewers have raised serious concerns with both clarity and the trustworthiness of the experimental evaluation, and thus I cannot recommend acceptance at this time.",Paper Decision
YVEehT7h70,Skxd6gSYDS,Query-efficient Meta Attack to Deep Neural Networks,Accept (Poster),"This paper proposes a meta attack approach based on meta learning approaches to learn generalizable prior from the previously observed attack patterns. The proposed approach is able to attack targeted models with much fewer queries. After author response, all reviewers are very positive about the paper. Thus I recommend accept. ",Paper Decision
k5JHM7N2e,HJxdTxHYvB,BREAKING  CERTIFIED  DEFENSES:  SEMANTIC  ADVERSARIAL  EXAMPLES  WITH  SPOOFED  ROBUSTNESS  CERTIFICATES,Accept (Poster),"This work presents a ""shadow attack"" that fools certifiably robust networks by producing imperceptible adversarial examples by search outside of the certified radius. The reviewers are generally positive on the novelty and contribution of the work. ",Paper Decision
o30pC3H2Uu,SJgdpxHFvH,Meta-Learning Initializations for Image Segmentation,Reject,"The reviewers reached a consensus that the paper was not ready to be accepted in its current form. The main concerns were in regard to clarity, relatively limited novelty, and a relatively unsatisfying experimental evaluation. Although some of the clarity concerns were addressed during the response period, the other issues still remained, and the reviewers generally agreed that the paper should be rejected.",Paper Decision
LTAafnEG6,rkewaxrtvr,Privacy-preserving Representation Learning by Disentanglement,Reject,"The paper leverages variational auto-encoders (VAEs) and disentanglement to generate data representations that hide sensitive attributes. The reviewers have identified several issues with the paper, including its false claims or statements about differential privacy, unclear privacy guarantee, and lack of related work discussion. The authors have not directly addressed these issues.",Paper Decision
0lFT19rXkk,rJg8TeSFDH,An Exponential Learning Rate Schedule for Deep Learning,Accept (Spotlight),"After the revision, the reviewers agree on acceptance of this paper.    Let's do it.",Paper Decision
4lVMROrsN7,rJe8pxSFwr,End-to-end learning of energy-based representations for irregularly-sampled signals and images,Reject,"This work looks at ways to fill in incomplete data, through two different energy terms.
Reviewers find the work interesting, however it is very poorly written and nowhere near ready for publication. This comes on top of poorly stated motivation and insufficient comparison to prior work.
Authors have chosen not to answer the reviewers' comments.
We recommend rejection.",Paper Decision
i1zKlyyBEw,B1xSperKvH,Enabling Deep Spiking Neural Networks with Hybrid Conversion and Spike Timing Dependent Backpropagation,Accept (Poster),"After the rebuttal, all reviewers rated this paper as a weak accept. 
The reviewer leaning towards rejection was satisfied with the author response and ended up raising their rating to a weak accept.  The AC recommends acceptance.",Paper Decision
K1gHRlmgml,S1erpeBFPB,How to 0wn the NAS in Your Spare Time,Accept (Poster),"This paper proposes using Flush+Reload to infer the deep network architecture of another program, when the two programs are running on the same machine (as in cloud computing or similar). 

There is some disagreement about this paper; the approach is thoughtful and well executed, but one reviewer had concerns about its applicability and realism. Upon reading the author's rebuttal I believe these to be largely addressed, or at least as realistically as one can in a single paper. Therefore I recommend acceptance.",Paper Decision
yjaXmBk1rN,S1lBTerYwH,Generalized Zero-shot ICD Coding,Reject,"This paper proposes a method to do zero-shot ICD coding, which involves assigning natural language labels (ICD codes) to input text. This is an important practical problem in healthcare, and it is not straightforward to solve, because many ICD codes have none or very few training examples due to the long distribution tail. The authors adapt a GAN-based technique previously used in vision to solve this problem. All of the reviewers agree that the paper is well written and well executed, and that the results are good. However, the reviewers have expressed concerns about the novelty of the GAN adaptation step, and left this paper very much borderline based on the scores it received. Due to the capacity restrictions I therefore have to recommend rejection, however I hope that the  authors resubmit elsewhere. ",Paper Decision
QfJjGq7LS,ryx4TlHKDS,EXACT ANALYSIS OF CURVATURE CORRECTED LEARNING DYNAMICS IN DEEP LINEAR NETWORKS,Reject,"This paper aims to study the effect of curvature correction techniques on training dynamics. The focus is on understanding how natural gradient based methods affect training dynamics of deep linear networks. The main conclusion of the analysis is that it does not fundamentally affect the path of convergence but rather accelerates convergence. They also show that layer correction techniques alone do not suffice. In the discussion the reviewers raised concerns about extrapolating too much based on linear networks and also lack of a cohesive literature review. One reviewer also mentioned that there is not enough technical detail. These issues were partially addressed in the response. I think the topic of the paper is interesting and timely. However, I concur with Reviewer #2 that there are still lots of missing detail and the connection with the nonlinear case is not clear (however the latter is not strictly necessary in my opinion if the rest of the paper is better written). As a result I think the paper in its current form is not ready for publication. ",Paper Decision
iV_Cewp2j-,HJgzpgrYDr,Learning to Reason: Distilling Hierarchy via Self-Supervision and Reinforcement Learning,Reject,"The authors present a self-supervised framework for learning a hierarchical policy in reinforcement learning tasks that combines a high-level planner over learned latent goals with a shared low-level goal-completing control policy.  The reviewers had significant concerns about both problem positioning (w.r.t. existing work) and writing clarity, as well as the fact that all comparative experiments were ablations, rather than comparisons to prior work.  While the reviewers agreed that the authors reasonably resolved issues of clarity, there was not agreement that concerns about positioning w.r.t. prior work and experimental comparisons were sufficiently resolved.  Thus, I recommend to reject this paper at this time.",Paper Decision
kQujRaJ0z,HyebplHYwB,The Shape of Data: Intrinsic Distance for Data Distributions,Accept (Poster),"This paper introduces a way to measure dataset similarities. Reviewers all agree that this method is novel and interesting. A few questions initially raised by reviewers regarding models with and without likelihood, geometric exposition, and guarantees around GW, are promptly answered by authors, which raised the score to all weak accept. 
",Paper Decision
Ni5eKNNvjY,B1xbTlBKwB,Measuring Numerical Common Sense: Is A Word Embedding Approach Effective?,Reject,"The authors tackle an interesting and important problem, developing numerical common-sense. They use a crowdsourcing service to collect a dataset and use regression from word embeddings to numerical common sense.

Reviewers were concerned with the size and quality of the dataset, the quality of the prediction methods used, and the analysis of the experimental results.

Given the many concerns, I recommend rejecting the paper, but I encourage the authors to revise the paper to address the concerns and resubmit to another venue.",Paper Decision
0emF5aKs-X,Bkel6ertwS,Learning DNA folding patterns with Recurrent Neural Networks ,Reject,"The authors consider the problem of predicting DNA folding patterns.                                                               
They use a range of simple, linear models and find that a bi-LSTM architecture                                                     
yielded best performance.                                                                                                          
                                                                                                                                   
This paper is below acceptance.                                                                                                    
Reviewers pointed out strong similarity to previously published work.                                                              
Furthermore the manuscript lacked in clarity, leaving uncertain eg details about                                                   
experimental details. ",Paper Decision
SPoGClV2DZ,BkexaxBKPB,Generative Adversarial Nets for Multiple Text Corpora,Reject,"The general consensus amongst the reviewers is that this paper is not quite ready for publication. The reviewers raised several issues with your paper, which I hope will help you as you work towards finding a home for this work.",Paper Decision
rEmwTBSm2J,rkgg6xBYDH,Understanding Generalization in Recurrent Neural Networks,Accept (Poster),"This paper presents a generalization bound for RNNs based on matrix-1 norm and Fisher-Rao norm. As the initial bound relies on non-signularity of input covariance, which may not always hold in practice, the authors present additional analysis by noise injection to ensure covariance is positive definite. Through the resulted bound, the paper discusses how weight decay and gradient clipping in the training can help generalization. There were some concerns raised by reviewers, including  rigorous report of the experiment results,  claims on generalization in IMDB experiment,  claims of no explicit dependence on the size of networks, and the relationship of small eigenvalues in input covariance to high frequency features. The authors responded to these and also revised their draft to address most of these concerns (in particular, authors added a new section in the appendix that includes additional experimental results). Reviewers were mainly satisfied with the responses and the revision, and they all recommend accept.
",Paper Decision
XrNsBg-gYo,HygkpxStvr,Weakly-Supervised Trajectory Segmentation for Learning Reusable Skills,Reject,"The authors present a multiple instance learning-based approach that uses weak supervison (of which skills appear in any given trajectory)  to automatically segment a set of skills from demonstrations.  The reviewers had significant concerns about the significance and performance of the method, as well as the metrics used for analysis.  Most notably, neither the original paper nor the rebuttal provided a sufficient justification or fix for the lack of analysis beyond accuracy scores (as opposed to confusion matrices, precision/recall, etc), which leaves the contribution and claims of the paper unclear.  Thus, I recommend rejection at this time.",Paper Decision
g-YhRcFdh,Bke02gHYwB,Learn Interpretable Word Embeddings Efficiently with von Mises-Fisher Distribution,Reject,"The paper presents an approach to learning interpretable word embeddings. The reviewers put this in the lower half of the submissions. One reason seems to be the size of the training corpora used in the experiments, as well as the limited number of experiments; another that the claim of interpretability seems over-stated. There's also a lack of comparison to related work. I also think it would be interesting to move beyond the standard benchmarks - and either use word embeddings downstream or learn word embeddings for multiple languages [you should do this, regardless] and use Procrustes analysis or the like to learn a mapping: A good embedding algorithm should induce more linearly alignable embedding spaces. 

NB: While the authors cite other work by these authors, [0] seems relevant, too. Other related work: [1-4]. 

[0] https://www.aclweb.org/anthology/Q15-1016.pdf
[1] https://www.aclweb.org/anthology/Q16-1020.pdf
[2] https://www.aclweb.org/anthology/W19-4329.pdf
[3] https://www.aclweb.org/anthology/D17-1198/
[4] https://www.aclweb.org/anthology/D15-1183.pdf",Paper Decision
ju25JPc_-a,S1xRnxSYwS,Goten: GPU-Outsourcing Trusted Execution of Neural Network Training and Prediction,Reject,"This paper proposes a framework for privacy-preserving training of neural networks within a Trusted Execution Environment (TEE) such as Intel SGX. The reviewers found that this is a valuable research directions, but found that there were significant flaws in the experimental setup that need to be addressed. In particular, the paper does not run all the experiments in the same setup, which leads to the use of scaling factor in some cases. The reviewers found that this made it difficult to make sense of the results. The writing of this paper should be streamlined, along with the experiments before resubmission.",Paper Decision
dWBjn-o9m,r1x63grFvH,Limitations for Learning from Point Clouds,Reject,"The present paper establishes uniform approximation theorems (UATs) for PointNet and DeepSets that do not fix the cardinality of the input set. 

Two nonexperts read the paper and came away not understanding what this exercise has taught us and why the weakening of the hypotheses was important. The authors made no attempt to argue these points in their rebuttals and so I went looking at the paper to find the answer in their revisions, but did not find it after scanning through the paper. I think a paper like this needs to explain what is gained and what obstructions earlier approaches met, and why the current techniques side step those. One of the reviewers felt that the fixed cardinality assumption was mild. I'm really not sure why the authors didn't attack this idea. Maybe it is mild in some technical sense?

What I read of the paper seemed excellent in term of style and clarity. I think the paper simply needs to make a better case that it is not merely an exercise in topology. I think the result here is publishable on its own grounds, but for the paper to effectively communicate those findings, the authors should have revised it to address these issues. They chose not to and so I recommend ICLR take a pass. Once the reviewers revised the framing and scope/impact, provided it doesn't sound trivial, I think it'll be ready for publication.

",Paper Decision
PugTQsmZ1p,BJlahxHYDS,Conservative Uncertainty Estimation By Fitting  Prior Networks,Accept (Poster),"The paper provides theoretical justification for a previously proposed method for uncertainty estimation based on sampling from a prior distribution (Osband et al., Burda et al.).

The reviewers initially raised concerns about significance, clarity and experimental evaluation, but the author rebuttal addressed most of these concerns.

In the end, all the reviewers agreed that the paper deserves to be accepted.",Paper Decision
hYLvNQJ6XW,SJgn3lBtwH,Re-Examining Linear Embeddings for High-dimensional Bayesian Optimization,Reject,"This paper explores the practice of using lower-dimensional embeddings to perform Bayesian optimization on high dimensional problems.  The authors identify several issues with performing such an optimization on a lower-dimensional projection and propose solutions leading to better empirical performance of the optimization routine.  Overall the reviewers found the work well written and enjoyable.  However, the reviewers were concerned primarily about the connection to existing literature (R2) and the empirical analysis (R1, R3).  The authors claim that their method outperforms state-of-the-art on a range of problems but the reviewers did not feel there was sufficient empirical evidence to back up this claim. 
 Unfortunately, as such the paper is not quite ready for publication.  The authors claim to have significantly expanded the experiments in the response period, however, which will likely make it much stronger for a future submission.
",Paper Decision
GBLwLAMRgN,Syx33erYwH,ASYNCHRONOUS MULTI-AGENT GENERATIVE ADVERSARIAL IMITATION LEARNING,Reject,"This paper extends multi-agent imitation learning to extensive-form games. There is a long discussion between reviewer #3 and the authors on the difference between Markov Games (MGs) and Extensive-Form Games (EFGs). The core of the discussion is on whether methods developed under the MG formalism (where agents take actions simultaneously) naturally can be applied to the EFG problem setting (where agents can take actions asynchronously). Despite the long discussion, the authors and reviewer did not come to an agreement on this point. Given that it is a crucial point for determining the significance of the contribution, my decision is to decline the paper. I suggest that the authors add a detailed discussion on why MG methods cannot be applied to EFGs in the way suggested by reviewer #3 in the next version of this work and then resubmit.",Paper Decision
-Ug2fCPXLB,Hkxi2gHYvH,Predictive Coding for Boosting Deep Reinforcement Learning with Sparse Rewards,Reject,"The paper proposes to use the representation learned via CPC to do reward shaping via clustering the embedding and providing a reward based on the distance from the goal.

The reviewers point out some conceptual issues with the paper, the key one being that the method is contingent on a random policy being able to reach the goal, which is not true for difficult environments that the paper claims to be motivated by. One reviewer noted limited experiment runs and lack of comparisons with other reward shaping methods.

I recommend rejection, but hope the authors find the feedback helpful and submit a future version elsewhere.",Paper Decision
a0sO1Ldrx1,rklj3gBYvH,NORML: Nodal Optimization for Recurrent Meta-Learning,Reject,"The paper proposes a LSTM-based meta-learning approach that learns how to update each neuron in another model for best few-shot learning performance.

The reviewers agreed that this is a worthwhile problem and the approach has merits, but that it is hard to judge the significance of the work, given limited or unclear novelty compared to the work of Ravi & Larochelle (2017) and a lack of fair baseline comparisons.

I recommend rejecting the paper for now, but encourage the authors to take the reviewers' feedback into account and submit to another venue.",Paper Decision
Br72Ua5za1,r1gc3lBFPH,Keyword Spotter Model for Crop Pest and Disease Monitoring from Community Radio Data,Reject,"Main summary:  Design an effective and economical model which spots keywords about pests and disease from community radio data in Luganda and English.

Discussions:
all reviewers vote on rejecting the paper, due to lack of generalizability, training and evaluation discussion need work
Recommendation: Reject",Paper Decision
fhaP5EbL15,SJx9ngStPH,NAS-Bench-1Shot1: Benchmarking and Dissecting One-shot Neural Architecture Search,Accept (Poster),"The authors present a new benchmark for architecture search. Reviews were somewhat mixed, but also with mixed confidence scores. I recommend acceptance as poster - and encourage the authors to also cite https://openreview.net/forum?id=HJxyZkBKDr",Paper Decision
msEYgWjTQ,Hyg53gSYPB,Defense against Adversarial Examples by Encoder-Assisted Search in the Latent Coding Space,Reject,"The paper proposes a defense for adversarial attacks based on autoencoders that tries to find the closest point to the natural image in the output span of the decoder and ""purify"" the adversarial example. There were concerns about the work being too incremental over DefenseGAN and about empirical evaluation of the defense. It is crucial to test the defense methods against best available attacks to establish the effectiveness. Authors should also discuss and consider evaluating their method against the attack proposed in https://arxiv.org/pdf/1712.09196.pdf that claims to greatly reduce the defense accuracy of DefenseGAN. ",Paper Decision
a7t7RRFwj-,BkxthxHYvr,Conditional generation of molecules from disentangled representations,Reject,"The paper aims to generate molecules with desired properties using a variant of supervised variational auto-encoders. Disentanglement is encouraged among the style factors.  The reviewers point out that the idea is nice, but authors avoid quantitative comparison with SotA Graph-based generative models.  Especially, the JT-VAE is acknowledged as a strong baseline widely in the community and is a VAE-based model, it is important to do these comparisons. ",Paper Decision
Mv3l-P3-C,Bklu2grKwB,Learning RNNs with Commutative State Transitions,Reject,"This paper examines learning problems where the network outputs are intended to be invariant to permutations of the network inputs.  Some past approaches for this problem setting have enforced permutation-invariance by construction.  This paper takes a different approach, using a recurrent neural network that passes over the data. The paper proves the network will be permutation invariant when the internal state transition function is associative and commutative.  The paper then focuses on the commutative property by describing a regularization objective that pushes the recurrent network towards becoming commutative.  Experimental results with this regularizer show potentially better performance than DeepSet, another architecture that is designed for permutation invariance.

The subsequent discussion of the paper raised several concerns with the current version of the paper. The theoretical contributions for full permutation-invariance follow quickly from the prior DeepSet results.  The paper's focus on commutative regularization in the absence of associative regularization is not compelling if the objective is really for permutation invariance.  The experimental results were limited in scope.  These results lacked error bars and an examination of the relevance of associativity. The reviewers also identified several related lines of work which could provide additional context for the results that were missing from the paper.

This paper is not ready for publication due to the multiple concerns raised by the reviewers.  The paper would become stronger by addressing these concerns, particularly the associativity of the transition function, empirical results, and related work. ",Paper Decision
ZbmJAKoT_f,BkePneStwH,XD: Cross-lingual Knowledge Distillation for Polyglot Sentence Embeddings,Reject,"This paper proposes a method for transferring an NLP model trained on one language a new language, without using labeled data in the new language. 

Reviewers were split on their recommendations, but the reviews collectively raised a number of concerns which, together, make me uncomfortable accepting the paper. Reviewers were not convinced by the value of the experimental setting described in the paper—at least in the experiments conducted here, the claim that the model is distinctively effective depend on ruling out a large class of models arbitrarily. it would likely be valuable to find a concrete task/dataset/language combination that more closely aligns with the motivations for this work, and to evaluate whether the proposed method is genuinely the most effective practical option in that setting. Further, the reviewers raise a number of points involving baseline implementations, language families, and other issues, that collectively make me doubt that the paper is fully sound in its current form.",Paper Decision
Cz0iRDKaaz,HkxDheHFDr,LAVAE: Disentangling Location and Appearance,Reject,"This paper presents a VAE approach where the model learns representation while disentangling the location and appearance information. The reviewers found issues with the experimental evaluation of the paper, and have given many useful feedback. None of the reviewers were willing to change their score during the discussion period. with the current score, the paper does not make the cut for ICLR, and I recommend to reject this paper. ",Paper Decision
aN2RvgJtU9,Hygv3xrtDr,Sparse Skill Coding: Learning Behavioral Hierarchies with Sparse Codes,Reject,"The paper proposes an interesting idea of identifying repeated action sequences, or behavioral motifs, in the context of hierarchical reinforcement learning, using sparsity/compression.  While this is a fresh and useful idea, it appears that the paper requires more work, both in terms of presentation/clarity and in terms of stronger empirical results.
",Paper Decision
MX1NRIMyEa,HkgU3xBtDS,REFINING MONTE CARLO TREE SEARCH AGENTS BY MONTE CARLO TREE SEARCH,Reject,"This paper is a clear reject. The paper is very poorly written and contains zero citations. Also, the reviewers have a hard time understanding what the paper is about.",Paper Decision
Tn0JpKszF,SkgS2lBFPS,A Bilingual Generative Transformer for Semantic Sentence Embedding,Reject,"This paper presents a model for building sentence embeddings using a generative transformer model that encoders separately semantic aspects (that are common across languages)  and language-specific aspects. The authors evaluate their embeddings in a non-parametric way (i.e., on STS tasks by measuring cosine similarity) and find their method to outperform other sentence embeddings methods. The main concern that both reviewers (and myself) have about this work relates to its evaluation part. While the authors present a set of very interesting difficult evaluation and probing splits aiming at quantifying the linguistic behaviour of their model, it is unsatisfying the fact that the authors do not evaluate their model extensively in standard classification embedding benchmarks (e.g., as in GLUE). The authors comment: “[their model in producing embeddings] it isn’t as strong when using classification for final predictions. This indicates that the embeddings learned by our approach may be most useful when no downstream training is possible”. If this is true, why is it the case and isn’t it quite restrictive? I think this work is interesting with a nice analysis but the current empirical results are borderline  (yes, the model is better on STS, but this is quite limited of an idea compared to using these embeddings as features in a classification tasks). As such, I do not recommend this paper for acceptance but I do hope that authors will keep improving their method and will make it work in more general problems involving classification tasks.",Paper Decision
bqtUAvmNo8,ryxB2lBtvH,Learning to Coordinate Manipulation Skills via Skill Behavior Diversification,Accept (Poster),"This paper deals with multi-agent hierarchical reinforcement learning. A discrete set of pre-specified low-level skills are modulated by a conditioning vector and trained in a fashion reminiscent of Diversity Is All You Need, and then combined via a meta-policy which coordinates multiple agents in pursuit of a goal. The idea is that fine control over primitive skills is beneficial for achieving coordinated high-level behaviour.

The paper improved considerably in its completeness and in the addition of baselines, notably DIAYN without discrete, mutually exclusive skills. Reviewers agreed that the problem is interesting and the method, despite involving a degree of hand-crafting, showed promise for informing future directions. 

On the basis that this work addresses an interesting problem setting with a compelling set of experiments, I recommend acceptance.",Paper Decision
QGVQ7oSjL,SklEhlHtPr,DeepPCM: Predicting Protein-Ligand Binding using Unsupervised Learned Representations,Reject,"This paper uses unsupervised learning to create useful representations to improve the performance of models in predicting protein-ligand binding. After reviewers had time to consider each other's comments, there was consensus that the current work is too lacking in novelty on the modeling side to warrant publication in ICLR. Additionally, current experiments are lacking comparisons with important baselines. The work in its current form may be better suited for a domain journal. ",Paper Decision
fmCYK3XXCA,S1lVhxSYPH,Ternary MobileNets via Per-Layer Hybrid Filter Banks,Reject,"The paper presents a quantization method that generates per-layer hybrid filter banks consisting of full-precision and ternary weight filters for MobileNets. The paper is well-written. However, it is incremental. Moreover, empirical results are not convincing enough. Experiments are only performed on ImageNet. Comparison on more datasets and more model architectures should be performed.",Paper Decision
hODE9LtIBl,BJg73xHtvr,Constant Curvature Graph Convolutional Networks,Reject,"This paper proposes using non-Euclidean spaces for GCNs, leveraging the gyrovector space formalism. The model allows products of constant curvature, both positive and negative, generalizing hyperbolic embeddings. 

Reviewers got mixed impressions on this paper. Whereas some found its methodology compelling and its empirical evaluation satisfactory, it was generally perceived that this paper will greatly benefit from another round of reviewing. In particular, the authors should improve readability of the main text and provide a more thorough discussion on related recent (and concurrent) work. ",Paper Decision
